1,"Acarbosum","Glucobay 100, tabl. , 100 mg","30 tabl.","5909990285518","2012-01-01","2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",13.93,19.38,19.38,"Cukrzyca","30%",5.81
2,"Acarbosum","Glucobay 50, tabl. , 50 mg","30 tabl.","5909990285419","2012-01-01","2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",11.02,14.52,9.69,"Cukrzyca","30%",7.74
3,"Acarbosum","Glucobay 50, tabl. , 50 mg","90 tabl.","5909990335541","2012-01-01","2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",32.94,41.1,29.07,"Cukrzyca","30%",20.75
4,"Acebutololum","Sectral 200, tabl. powl., 200 mg","30 tabl.","5909990109920","2012-01-01","2 lata","40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.36,9.72,2.7,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",9.72
5,"Acebutololum","Sectral 400, tabl. powl., 400 mg","30 tabl.","5909990110018","2012-01-01","2 lata","40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",15.74,18.38,5.4,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",16.18
6,"Acenocoumarolum","Acenocumarol WZF, tabl. , 4 mg","60 tabl.","5909990055715","2012-01-01","2 lata","21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K",8.32,12.07,12.07,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",5.12
7,"Aciclovirum","HASCOVIR, tabl. , 200 mg","30 tabl. (2 blist.po 15 szt.)","5909991049515","2012-01-01","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",9.9,14.17,12.57,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",7.89
8,"Aciclovirum","HASCOVIR, tabl. , 400 mg","30 tabl. (2 blist.po 15 szt.)","5909991052218","2012-01-01","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",16.76,23.56,23.56,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",11.78
9,"Aciclovirum","Heviran, tabl. powl., 200 mg","30 tabl. (3 blist.po 10 szt.)","5909990840014","2012-01-01","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",12.1,16.52,12.57,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",10.24
10,"Aciclovirum","Heviran, tabl. powl., 400 mg","30 tabl. (3 blist.po 10 szt.)","5909990840113","2012-01-01","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",21.6,28.73,25.13,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",16.17
11,"Aciclovirum","Heviran, tabl. powl., 800 mg","30 tabl. (3 blist.po 10 szt.)","5909990840229","2012-01-01","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",38.88,50.26,50.26,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",25.13
12,"Aciclovirum","Virolex, maść do oczu, 30 mg/g","4,5 g","5909990273317","2012-01-01","2 lata","115.1, Leki przeciwwirusowe do stosowania do oczu - acyklowir ",32.18,40.84,32.41,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",24.64
13,"Aciclovirum","Viru-POS, maść do oczu, 30 mg/g, 4,5 g, maść do oczu, 30 mg/g","4,5 g","5909990053049","2012-01-01","2 lata","115.1, Leki przeciwwirusowe do stosowania do oczu - acyklowir ",24.3,32.41,32.41,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",16.21
14,"Acidum alendronicum","Alenato, tabl. , 10 mg","30 tabl.","5909990919017","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",10.8,15.53,15.53,"Osteoporoza","30%",4.66
15,"Acidum alendronicum","Alendran 70, tabl. , 70 mg","4 tabl.","5909990072156","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",10.8,15.37,15.37,"Osteoporoza","30%",4.61
16,"Acidum alendronicum","Alendrogen, tabl. , 70 mg","4 tabl. ","5909990623112","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",9.72,14.21,14.21,"Osteoporoza","30%",4.26
17,"Acidum alendronicum","Alendronat - ratiopharm 70, tabl. , 70 mg","12 tabl. (3 blist.po 4 szt.)","5909990566303","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",43.72,54.48,46.11,"Osteoporoza","30%",22.2
18,"Acidum alendronicum","Alendronat-ratiopharm 70, tabl. , 70 mg","4 tabl.","5909990566297","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",15.34,20.22,15.37,"Osteoporoza","30%",9.46
19,"Acidum alendronicum","Alendronate Arrow, tabl. , 70 mg","4 tabl.","5909990693726","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",9.72,14.21,14.21,"Osteoporoza","30%",4.26
20,"Acidum alendronicum","Alendronatum 123ratio, Alendronatum Farmacom, tabl. , 70 mg","4 tabl. (blister)","5909990036653","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",14.63,19.47,15.37,"Osteoporoza","30%",8.71
21,"Acidum alendronicum","Ostemax 70 comfort, tabl. , 70 mg","4 tabl. (blister)","5909991081713","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",22.68,28.08,15.37,"Osteoporoza","30%",17.32
22,"Acidum alendronicum","Ostenil 70, tabl. , 70 mg","4 tabl. (blister w pudełku)","5909991087418","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",19.02,24.16,15.37,"Osteoporoza","30%",13.4
23,"Acidum alendronicum","Ostenil 70, tabl. , 70 mg","6 tabl. (blister w pudełku)","5909991087425","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",27.95,34.87,23.06,"Osteoporoza","30%",18.73
24,"Acidum alendronicum","Ostolek, tabl. powl., 70 mg","4 tabl. (blister)","5909991032517","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",17.77,22.82,15.37,"Osteoporoza","30%",12.06
25,"Acidum alendronicum","Sedron 70 mg tabletki powl., tabl. powl., 70 mg","4 tabl. (blister)","5909990039692","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",11.88,16.52,15.37,"Osteoporoza","30%",5.76
26,"Acidum alendronicum","Sedron 70 mg tabletki powl., tabl. powl., 70 mg","12 tabl. (3 blist.x 4 szt.)","5909990039708","2012-01-01","2 lata","147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",35.64,45.84,45.84,"Osteoporoza","30%",13.75
27,"Acidum folicum","Acidum Folicum Richter, tabl. , 5 mg","30 tabl.","5909990109210","2012-01-01","2 lata","27.0, Kwas foliowy i pochodne - kwas foliowy",1.57,1.96,1,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",1.96
28,"Acidum folicum","Acidum Folicum Richter, tabl. , 15 mg","30 tabl.","5909990109319","2012-01-01","2 lata","27.0, Kwas foliowy i pochodne - kwas foliowy",2,2.99,2.99,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",2.99
29,"Acidum folicum","Folacid , tabl. , 5 mg","30 tabl. (1 blist.po 30 szt.)","5909990960811","2012-01-01","2 lata","27.0, Kwas foliowy i pochodne - kwas foliowy",1.57,1.96,1,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",1.96
30,"Acidum folicum","Folacid , tabl. , 15 mg","30 tabl. (1 blist.po 30 szt.)","5909990960910","2012-01-01","2 lata","27.0, Kwas foliowy i pochodne - kwas foliowy",2.01,3,2.99,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","ryczałt",3
31,"Acidum mycophenolicum","Myfortic, tabl. , 360 mg","120 tabl.","5909990219209","2012-01-01","2 lata","134.0, Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - kwas mykofenolowy i jego pochodne",999,1102.38,889.1,"Stan po przeszczepie narządu unaczynionego bądź szpiku","ryczałt",216.48
32,"Acidum mycophenolicum","Myfortic, tabl. , 180 mg","120 tabl.","5909990219797","2012-01-01","2 lata","134.0, Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - kwas mykofenolowy i jego pochodne",496.8,554.55,444.55,"Stan po przeszczepie narządu unaczynionego bądź szpiku","ryczałt",113.2
33,"Acidum pamidronicum","PAMIFOS-30, proszek i rozpuszczalnik do sporządzania roztworu do infuzji, 30 mg","2 fiol.s.subs. (+2 rozp.szkło)","5909990661671","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",275.4,314.5,308.41,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",9.29
34,"Acidum pamidronicum","PAMIFOS-60, proszek i rozpuszczalnik do sporządzania roztworu do infuzji, 60 mg","1 fiol.s.subs.a 10ml (+ rozp.szkło)","5909990661688","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",275.4,314.5,308.41,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",9.29
35,"Acidum pamidronicum","PAMIFOS-90, proszek i rozpuszczalnik do sporządzania roztworu do infuzji, 90 mg","1 fiol.s.subs.a 10ml (+ rozp.szkło)","5909990661695","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",410.4,462.61,462.61,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",3.2
36,"Acidum pamidronicum","Pamidronat medac, koncentrat do sporządzania roztworu do infuzji, 3 mg/ml","1 fiol.a 5ml","5909990587810","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",68.04,84.62,77.1,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",10.72
37,"Acidum pamidronicum","Pamidronat medac, koncentrat do sporządzania roztworu do infuzji, 3 mg/ml","1 fiol.a 10ml","5909990587841","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",140.4,166.05,154.2,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",15.05
38,"Acidum pamidronicum","Pamidronat medac, koncentrat do sporządzania roztworu do infuzji, 3 mg/ml","1 fiol.a 20ml","5909990587872","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",280.8,320.27,308.41,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",15.06
39,"Acidum pamidronicum","Pamidronat medac, koncentrat do sporządzania roztworu do infuzji, 3 mg/ml","1 fiol.a 30ml","5909990587902","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",421.2,474.16,462.61,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",14.75
40,"Acidum pamidronicum","Pamitor, koncentrat do sporządzania roztworu do infuzji, 15 mg/ml","1 amp.a 2ml (PE)","5909991012649","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",135,160.27,154.2,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",9.27
41,"Acidum pamidronicum","Pamitor, koncentrat do sporządzania roztworu do infuzji, 15 mg/ml","1 amp.a 4ml (PE)","5909991012663","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",270,308.72,308.41,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",3.51
42,"Acidum pamidronicum","Pamitor, koncentrat do sporządzania roztworu do infuzji, 15 mg/ml","1 amp.a 6ml (PE)","5909991012687","2012-01-01","2 lata","146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy",406.08,457.98,457.98,"Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych","ryczałt",3.2
43,"Acidum tranexamicum","Exacyl, tabl. powl., 500 mg","20 tabl. (2 blist.po 10 szt.)","5909990035915","2012-01-01","2 lata","24.2, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie stałe",10.8,15.37,15.37,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",7.69
44,"Acidum tranexamicum","Exacyl, roztwór doustny , 1 g/10ml","5 amp.a 10ml","5909990036011","2012-01-01","2 lata","24.3, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie płynne",10.09,14.45,14.45,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",7.23
45,"Acidum tranexamicum","Exacyl, roztwór do wstrzykiwań, 100 mg/ml","5 amp.a 5ml","5909990306916","2012-01-01","2 lata","24.1, Leki antyfibrynolityczne - kwas traneksamowy do stosowania pozajelitowego",7.72,11.18,10.96,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",5.7
46,"Acidum tranexamicum","Exacyl, roztwór do wstrzykiwań, 100 mg/ml","5 amp.a 5ml","5909990309313","2012-01-01","2 lata","24.1, Leki antyfibrynolityczne - kwas traneksamowy do stosowania pozajelitowego",7.52,10.96,10.96,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","50%",5.48
47,"Acidum valproicum","Convulex , kaps. miękkie, 500 mg","100 kaps. (10 blist.po 10 szt.)","5909990023813","2012-01-01","2 lata","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",35.87,46.51,46.51,"Choroby psychiczne lub upośledzenia umysłowe","bezpłatny",0
48,"Acidum valproicum","Convulex , kaps. miękkie, 500 mg","100 kaps. (10 blist.po 10 szt.)","5909990023813","2012-01-01","2 lata","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",35.87,46.51,46.51,"Padaczka","ryczałt",3.56
49,"Acidum valproicum","Convulex 150, kaps. miękkie, 150 mg","100 kaps.","5909990244317","2012-01-01","2 lata","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",14.52,19.29,14.21,"Choroby psychiczne lub upośledzenia umysłowe","bezpłatny",5.08
50,"Acidum valproicum","Convulex 150, kaps. miękkie, 150 mg","100 kaps.","5909990244317","2012-01-01","2 lata","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",14.52,19.29,14.21,"Padaczka","ryczałt",8.28
